City Code,Province Code,Country Code,city_name,state_name,country_name
MAIER,KA,IN,Madikeri,Karnataka,India
HUB,KA,IN,Hubli,Karnataka,India
CENAI,TN,IN,Chennai,Tamil Nadu,India
MDHYR,WB,IN,Madhyamgram,West Bengal,India
MADPR,JH,IN,Madhupur,Jharkhand,India
MADUG,KA,IN,Madhugiri,Karnataka,India
MDHUB,BR,IN,Madhubani,Bihar,India
FORTH,VA,US,Fort Hunt,Virginia,United States
BSEMR,AL,US,Bessemer,Alabama,United States
PAUCH,KY,US,Paducah,Kentucky,United States
BIRMG,AL,US,Birmingham,Alabama,United States
CNTEP,AL,US,Center Point,Alabama,United States
DAHNE,AL,US,Daphne,Alabama,United States
DECAT,AL,US,Decatur,Alabama,United States
DOTHA,AL,US,Dothan,Alabama,United States
EASTF,AL,US,East Florence,Alabama,United States
ENTRS,AL,US,Enterprise,Alabama,United States
FARPE,AL,US,Fairhope,Alabama,United States
CENAI,TN,IN,Vizag,Andra,India
